0,1,2,3,4,5
3.341667,3.341667,3.333333,0.01666667,-0.004166667,0.0125
3.383333,3.375,3.358333,0.008333333,0.0,0.0
3.383333,3.366667,3.408333,0.008333333,0.0,0.0125
2.716667,2.716667,2.708333,0.008333333,-0.004166667,-0.004166667
3.0,3.0,2.983333,0.004166667,0.0,-0.004166667
2.933333,2.933333,2.933333,-0.004166667,0.004166667,0.0
2.7,2.7,2.716667,-0.004166667,0.0,-0.004166667
2.283333,2.308333,2.275,0.008333333,0.008333333,0.004166667
1.991667,2.016667,1.991667,0.008333333,0.0,-0.004166667
1.833333,1.833333,1.85,0.0,-0.008333333,-0.004166667
1.625,1.6,1.608333,0.01666667,-0.004166667,-0.004166667
1.325,1.341667,1.325,-0.004166667,0.0,-0.004166667
0.9833333,0.9833333,0.975,0.008333333,0.004166667,-0.004166667
0.5083333,0.5,0.5,0.0125,0.004166667,0.0
0.8333333,0.8416667,0.825,-0.008333333,0.0,-0.004166667
0.05,0.075,0.05833333,0.0125,0.0,-0.004166667
-0.3916667,-0.4,-0.4166667,0.008333333,0.0,-0.004166667
-0.5083333,-0.5,-0.4916667,0.008333333,0.004166667,-0.004166667
-0.5583333,-0.5583333,-0.5666667,0.004166667,-0.004166667,0.0125
-0.8083333,-0.825,-0.8333333,-0.004166667,0.004166667,0.0
-1.083333,-1.091667,-1.1,0.0,-0.008333333,0.0
-1.183333,-1.175,-1.2,0.008333333,0.008333333,0.0125
-1.341667,-1.325,-1.333333,0.008333333,0.01666667,-0.0125
-1.516667,-1.508333,-1.516667,0.008333333,0.0,-0.004166667
-2.041667,-2.058333,-2.058333,0.0,0.02083333,0.0125
-2.466667,-2.458333,-2.475,0.0,0.0,-0.004166667
-2.575,-2.566667,-2.55,0.008333333,0.0,0.0
-2.591667,-2.583333,-2.6,0.004166667,0.0,-0.004166667
-2.766667,-2.775,-2.783333,0.008333333,0.008333333,-0.004166667
-2.975,-2.966667,-2.958333,0.0,0.0,-0.008333333
-3.016667,-2.975,-2.983333,0.0,0.0,0.0
-3.183333,-3.158333,-3.175,0.004166667,0.0,-0.004166667
-3.375,-3.375,-3.375,0.0,0.0,0.0125
-3.45,-3.441667,-3.425,0.008333333,0.004166667,-0.004166667
-3.058333,-3.083333,-3.083333,0.008333333,-0.004166667,0.0
-2.808333,-2.791667,-2.808333,0.008333333,-0.01666667,0.004166667
-3.016667,-3.033333,-3.008333,0.0,-0.004166667,0.02083333
-2.883333,-2.875,-2.866667,0.0,-0.004166667,-0.004166667
-2.583333,-2.6,-2.583333,0.008333333,0.008333333,-0.004166667
-2.075,-2.075,-2.083333,-0.008333333,0.0,0.004166667
-1.9,-1.891667,-1.891667,0.008333333,0.004166667,0.004166667
-1.741667,-1.725,-1.725,-0.004166667,0.0,0.004166667
-1.433333,-1.45,-1.408333,0.0125,0.0,0.004166667
-1.183333,-1.208333,-1.191667,0.02083333,0.0,0.008333333
-0.6666667,-0.6916667,-0.675,0.008333333,0.0,0.004166667
-0.6916667,-0.6833333,-0.6916667,0.004166667,0.004166667,0.004166667
-0.5416667,-0.55,-0.525,0.01666667,-0.004166667,0.01666667
0.1083333,0.125,0.125,0.0,0.0,0.004166667
0.5083333,0.5083333,0.4916667,0.008333333,0.0,-0.004166667
0.5416667,0.5416667,0.55,0.008333333,0.008333333,-0.004166667
0.6833333,0.675,0.7083333,-0.008333333,0.008333333,0.0
1.016667,1.025,1.041667,0.004166667,0.01666667,-0.008333333
1.175,1.216667,1.191667,-0.004166667,-0.004166667,0.004166667
1.266667,1.233333,1.258333,0.0,0.004166667,0.008333333
1.416667,1.408333,1.408333,0.008333333,0.004166667,0.0125
1.783333,1.775,1.775,0.008333333,0.0,0.004166667
2.308333,2.333333,2.333333,0.0,0.0,0.004166667
2.55,2.533333,2.533333,0.008333333,-0.004166667,0.004166667
2.55,2.566667,2.566667,0.0125,-0.008333333,0.004166667
2.633333,2.658333,2.641667,-0.008333333,0.0,0.004166667
2.925,2.933333,2.916667,0.0,-0.008333333,0.0
2.983333,2.983333,2.975,0.0,0.008333333,0.0
3.033333,3.025,3.008333,0.004166667,0.004166667,0.004166667
3.266667,3.25,3.266667,0.0,0.0125,0.008333333
3.291667,3.283333,3.283333,0.008333333,-0.004166667,-0.004166667
3.408333,3.375,3.391667,-0.004166667,0.004166667,0.0125
3.366667,3.358333,3.35,0.004166667,-0.004166667,0.008333333
2.775,2.783333,2.766667,0.0,0.004166667,0.0125
3.0,2.975,2.966667,0.004166667,-0.008333333,-0.004166667
2.916667,2.916667,2.891667,0.0,0.008333333,-0.004166667
2.683333,2.683333,2.691667,0.004166667,0.004166667,0.004166667
2.316667,2.308333,2.308333,-0.008333333,0.004166667,-0.004166667
1.983333,2.008333,1.983333,0.0125,-0.004166667,-0.004166667
1.841667,1.85,1.875,0.0125,0.004166667,-0.004166667
1.616667,1.616667,1.625,0.0,0.0125,0.008333333
1.291667,1.316667,1.3,0.0,0.004166667,-0.0125
0.9833333,0.9583333,0.975,0.0125,-0.004166667,0.008333333
0.5583333,0.5333333,0.5416667,0.0,0.0,0.004166667
0.8416667,0.8416667,0.8416667,0.008333333,0.004166667,0.0125
0.075,0.09166667,0.125,0.0,0.0,0.0
-0.3666667,-0.4,-0.4083333,-0.004166667,0.008333333,0.0
-0.5,-0.5166667,-0.5416667,-0.004166667,0.008333333,-0.004166667
-0.6,-0.5833333,-0.6,-0.008333333,0.008333333,0.0
-0.825,-0.8083333,-0.7916667,0.0,0.004166667,0.004166667
-1.108333,-1.133333,-1.108333,0.008333333,0.008333333,-0.004166667
-1.216667,-1.208333,-1.208333,0.004166667,0.0,-0.004166667
-1.391667,-1.416667,-1.425,0.008333333,0.0,0.0
-1.55,-1.566667,-1.566667,0.008333333,0.004166667,0.0
-2.1,-2.075,-2.125,0.004166667,0.0,-0.004166667
-2.466667,-2.491667,-2.508333,0.0125,-0.004166667,-0.004166667
-2.625,-2.625,-2.658333,0.008333333,0.008333333,-0.004166667
-2.591667,-2.616667,-2.608333,0.01666667,-0.008333333,0.0125
-2.766667,-2.775,-2.775,0.004166667,0.004166667,0.004166667
-2.925,-2.95,-2.941667,-0.004166667,0.004166667,-0.004166667
-3.016667,-3.025,-3.041667,0.004166667,0.004166667,0.004166667
-3.2,-3.208333,-3.208333,0.0125,-0.004166667,-0.004166667
-3.358333,-3.35,-3.366667,-0.004166667,0.004166667,0.0
-3.416667,-3.408333,-3.408333,0.008333333,-0.008333333,0.008333333
-3.133333,-3.15,-3.158333,0.0,-0.004166667,0.0125
-2.858333,-2.875,-2.891667,0.008333333,0.004166667,0.004166667
-3.0,-3.0,-2.991667,0.008333333,-0.004166667,0.004166667
-2.816667,-2.808333,-2.808333,0.0125,0.008333333,0.004166667
-2.583333,-2.575,-2.566667,-0.008333333,-0.008333333,0.0
-2.116667,-2.091667,-2.075,0.008333333,0.0,0.004166667
-1.916667,-1.925,-1.891667,0.004166667,0.008333333,-0.004166667
-1.75,-1.783333,-1.775,0.01666667,-0.008333333,0.004166667
-1.475,-1.466667,-1.441667,0.0,0.0,0.004166667
-1.183333,-1.208333,-1.183333,0.0125,0.0125,0.008333333
-0.7166667,-0.75,-0.725,0.008333333,0.008333333,0.008333333
-0.6583333,-0.6583333,-0.6416667,-0.008333333,0.0,0.0
-0.5666667,-0.55,-0.5666667,0.0,-0.008333333,0.0
0.1,0.1083333,0.08333333,0.008333333,0.004166667,-0.004166667
0.525,0.525,0.5083333,0.004166667,0.0,0.0125
0.55,0.5416667,0.5666667,0.008333333,0.008333333,0.004166667
0.6916667,0.6666667,0.6833333,0.008333333,0.0,0.0125
1.016667,1.0,1.025,0.008333333,-0.0125,0.008333333
1.2,1.208333,1.225,0.008333333,-0.0125,0.008333333
1.291667,1.275,1.3,0.004166667,0.004166667,-0.0125
1.383333,1.416667,1.383333,0.008333333,0.008333333,-0.004166667
1.775,1.775,1.775,0.008333333,0.0125,0.0125
2.375,2.366667,2.383333,0.0,0.01666667,0.0
2.5,2.491667,2.516667,0.008333333,0.01666667,0.004166667
2.608333,2.608333,2.625,0.0125,0.004166667,-0.004166667
2.65,2.675,2.658333,0.0,0.0,0.0125
2.908333,2.891667,2.916667,0.004166667,0.0,0.0125
2.95,2.958333,2.966667,0.0,0.01666667,0.004166667
3.0,3.033333,3.033333,0.0125,0.004166667,-0.004166667
3.291667,3.3,3.283333,0.0125,0.0,0.008333333
3.333333,3.291667,3.308333,0.008333333,0.004166667,0.01666667
3.45,3.433333,3.45,0.0,0.004166667,0.004166667
3.366667,3.341667,3.366667,0.008333333,0.008333333,0.0125
2.791667,2.791667,2.808333,0.004166667,0.004166667,-0.004166667
3.0,3.008333,3.008333,0.008333333,0.004166667,0.0
2.975,2.966667,2.958333,-0.004166667,0.008333333,0.0125
2.733333,2.691667,2.708333,0.0,0.01666667,0.0
2.3,2.333333,2.325,-0.004166667,-0.008333333,0.0
2.008333,2.008333,2.016667,0.0125,0.004166667,0.0125
1.85,1.8,1.8,0.0,0.004166667,0.0
1.6,1.591667,1.583333,0.0,0.004166667,-0.004166667
1.325,1.316667,1.325,0.008333333,0.008333333,0.004166667
1.025,1.033333,1.041667,0.008333333,0.0,-0.004166667
0.5166667,0.5333333,0.5333333,0.0125,0.0,0.0
0.8416667,0.8583333,0.8416667,0.01666667,-0.004166667,0.0
0.1166667,0.1166667,0.125,-0.008333333,0.0,0.0
-0.4166667,-0.4083333,-0.4,0.0125,0.008333333,0.004166667
-0.5333333,-0.5583333,-0.5333333,0.0,-0.008333333,0.0125
-0.5416667,-0.5333333,-0.5416667,0.004166667,0.008333333,0.0
-0.7833333,-0.7833333,-0.7916667,0.0,0.0,-0.008333333
-1.091667,-1.108333,-1.1,0.0,0.0125,0.0
-1.191667,-1.2,-1.183333,0.004166667,0.004166667,-0.004166667
-1.35,-1.333333,-1.35,0.0125,0.008333333,0.008333333
-1.525,-1.516667,-1.516667,0.0,0.004166667,0.0
-2.058333,-2.075,-2.066667,0.008333333,0.004166667,-0.004166667
-2.4,-2.416667,-2.416667,0.008333333,-0.004166667,-0.004166667
-2.583333,-2.591667,-2.6,-0.004166667,-0.004166667,-0.004166667
-2.583333,-2.583333,-2.6,0.008333333,0.0,0.0
-2.766667,-2.741667,-2.766667,0.008333333,0.01666667,-0.004166667
-2.933333,-2.941667,-2.966667,0.004166667,0.0125,-0.004166667
-3.0,-2.983333,-2.991667,0.02083333,0.004166667,0.0
-3.183333,-3.191667,-3.166667,0.008333333,0.0,-0.004166667
-3.383333,-3.383333,-3.375,0.004166667,0.008333333,0.008333333
-3.458333,-3.5,-3.458333,0.0125,0.004166667,0.004166667
-3.141667,-3.133333,-3.175,0.0,0.004166667,0.004166667
-2.783333,-2.791667,-2.808333,0.0,0.0,0.0125
-2.991667,-2.983333,-3.025,0.0,0.004166667,0.01666667
-2.883333,-2.883333,-2.9,0.008333333,0.0,0.004166667
-2.575,-2.608333,-2.625,0.0,0.01666667,-0.004166667
-2.15,-2.15,-2.158333,0.008333333,0.004166667,0.0125
-1.9,-1.908333,-1.891667,-0.008333333,-0.004166667,0.0125
-1.733333,-1.741667,-1.741667,0.008333333,0.0,0.0
-1.458333,-1.466667,-1.458333,-0.004166667,-0.004166667,-0.004166667
-1.208333,-1.208333,-1.208333,0.004166667,0.0,0.0
-0.7916667,-0.7833333,-0.7666667,0.0,-0.008333333,-0.004166667
-0.65,-0.6666667,-0.65,0.0125,0.008333333,-0.004166667
-0.6166667,-0.6083333,-0.6083333,-0.008333333,0.0,0.004166667
0.1,0.08333333,0.1166667,0.0,0.008333333,-0.0125
0.5083333,0.5,0.5083333,0.004166667,0.008333333,-0.008333333
0.525,0.5166667,0.5333333,0.008333333,0.008333333,-0.004166667
0.7,0.6833333,0.6833333,0.008333333,0.008333333,-0.004166667
1.0,1.025,1.008333,0.0,0.0,0.004166667
1.241667,1.233333,1.225,0.0,0.0,0.0
1.258333,1.283333,1.25,0.0,0.004166667,-0.004166667
1.383333,1.408333,1.358333,0.004166667,0.0,0.004166667
1.733333,1.741667,1.741667,0.004166667,0.0,-0.004166667
2.333333,2.333333,2.333333,0.008333333,0.004166667,0.01666667
2.433333,2.425,2.441667,-0.004166667,0.01666667,0.0125
2.575,2.575,2.591667,0.004166667,0.0,0.004166667
2.633333,2.641667,2.633333,0.0,0.004166667,0.004166667
2.883333,2.883333,2.875,0.008333333,-0.004166667,0.004166667
2.941667,2.975,2.966667,0.0,-0.004166667,0.008333333
3.016667,3.025,3.025,0.008333333,0.0,0.004166667
3.275,3.266667,3.25,0.008333333,0.0,0.008333333
3.291667,3.283333,3.275,0.008333333,0.004166667,0.0
3.358333,3.333333,3.316667,0.008333333,0.0,0.004166667
3.325,3.358333,3.35,0.0125,0.0,-0.004166667
2.775,2.783333,2.783333,0.0,0.0,0.004166667
2.916667,2.916667,2.933333,0.0125,0.0,-0.004166667
2.95,2.941667,2.95,0.0,-0.004166667,-0.0125
2.7,2.683333,2.691667,0.004166667,-0.008333333,0.0
2.3,2.333333,2.358333,0.008333333,0.0,0.0
2.041667,2.033333,2.016667,0.008333333,0.008333333,-0.004166667
1.85,1.825,1.841667,0.0125,-0.0125,0.004166667
1.625,1.616667,1.625,0.004166667,0.0,0.008333333
1.308333,1.333333,1.316667,0.01666667,0.0,-0.004166667
1.008333,1.008333,1.008333,0.0,0.0,-0.004166667
0.525,0.5333333,0.5583333,-0.008333333,-0.01666667,0.004166667
0.825,0.85,0.8416667,0.008333333,0.008333333,-0.004166667
0.1333333,0.1083333,0.1333333,0.004166667,0.01666667,-0.004166667
-0.375,-0.3666667,-0.35,0.008333333,0.0,-0.004166667
-0.5416667,-0.5416667,-0.55,0.0,0.0,-0.004166667
-0.55,-0.55,-0.55,0.004166667,-0.004166667,-0.004166667
-0.8,-0.7666667,-0.7833333,0.0,0.0,-0.004166667
-1.108333,-1.133333,-1.133333,0.004166667,-0.004166667,0.0
-1.191667,-1.191667,-1.191667,0.01666667,0.0,-0.004166667
-1.341667,-1.333333,-1.375,-0.0125,0.008333333,0.004166667
-1.55,-1.508333,-1.55,0.004166667,-0.004166667,-0.004166667
-2.058333,-2.075,-2.083333,0.0,0.0,0.0
-2.45,-2.45,-2.45,-0.004166667,0.0,0.0125
-2.558333,-2.55,-2.533333,0.0,0.0,0.004166667
-2.6,-2.566667,-2.616667,-0.004166667,0.0,0.0125
-2.775,-2.775,-2.791667,0.01666667,0.004166667,-0.004166667
-2.941667,-2.933333,-2.908333,0.008333333,0.004166667,0.0
-2.983333,-2.975,-3.008333,-0.004166667,0.004166667,-0.004166667
-3.175,-3.183333,-3.15,0.008333333,0.004166667,0.004166667
-3.358333,-3.375,-3.375,-0.004166667,0.004166667,-0.004166667
-3.408333,-3.433333,-3.441667,0.0125,0.0,0.0
-3.108333,-3.125,-3.1,0.0,0.008333333,-0.004166667
-2.833333,-2.825,-2.808333,-0.004166667,0.0,0.0
-2.975,-2.966667,-2.991667,0.0,0.0,0.0
-2.85,-2.841667,-2.841667,-0.004166667,0.0,0.0125
-2.616667,-2.583333,-2.591667,0.0125,-0.008333333,0.0
-2.075,-2.091667,-2.108333,0.008333333,0.004166667,0.004166667
-1.875,-1.875,-1.875,0.008333333,0.0,-0.004166667
-1.75,-1.758333,-1.75,0.004166667,-0.008333333,-0.004166667
-1.458333,-1.45,-1.466667,-0.004166667,-0.0125,0.004166667
-1.216667,-1.225,-1.216667,0.004166667,0.004166667,0.004166667
-0.7583333,-0.75,-0.75,-0.004166667,0.004166667,-0.004166667
-0.65,-0.6416667,-0.6583333,0.0,0.0,0.004166667
-0.6,-0.5916667,-0.6083333,-0.008333333,0.004166667,0.004166667
0.08333333,0.1166667,0.09166667,0.0,0.0,0.004166667
0.4916667,0.5,0.5083333,0.0,-0.004166667,0.004166667
0.5333333,0.5416667,0.575,0.004166667,0.0,0.0
0.6666667,0.6833333,0.6833333,0.008333333,-0.008333333,0.0
1.0,1.0,0.975,0.004166667,0.004166667,0.004166667
1.241667,1.225,1.225,0.008333333,0.004166667,-0.0125
1.275,1.275,1.266667,0.008333333,0.008333333,0.0
1.433333,1.391667,1.4,0.0,-0.008333333,0.0125
1.75,1.75,1.75,0.008333333,0.008333333,0.0
2.391667,2.366667,2.391667,0.008333333,0.0,0.004166667
2.508333,2.508333,2.533333,-0.004166667,0.008333333,-0.004166667
2.558333,2.566667,2.591667,0.0,-0.004166667,-0.004166667
2.633333,2.658333,2.641667,0.008333333,-0.008333333,0.0125
2.875,2.916667,2.875,0.008333333,0.004166667,0.0
2.975,2.975,2.975,0.008333333,0.008333333,0.004166667
3.016667,3.041667,3.025,0.01666667,0.0125,0.0
3.258333,3.283333,3.275,-0.004166667,0.004166667,-0.0125
3.266667,3.3,3.275,0.0,-0.0125,-0.004166667
3.4,3.391667,3.383333,0.008333333,0.0125,0.0
3.366667,3.358333,3.375,0.0,0.0,-0.004166667
2.758333,2.791667,2.758333,0.008333333,-0.004166667,0.008333333
2.933333,2.916667,2.941667,-0.008333333,0.004166667,-0.004166667
2.925,2.941667,2.95,0.004166667,0.0,0.0
2.691667,2.7,2.7,0.008333333,0.01666667,0.0125
2.308333,2.316667,2.35,0.004166667,0.004166667,0.008333333
1.916667,1.891667,1.9,0.008333333,0.008333333,0.004166667
1.825,1.825,1.816667,0.0,-0.008333333,0.004166667
1.641667,1.625,1.625,-0.0125,-0.004166667,-0.004166667
1.275,1.325,1.275,0.008333333,-0.008333333,0.008333333
1.016667,1.025,0.9916667,0.0125,0.008333333,0.0
0.5333333,0.5166667,0.525,-0.004166667,0.0,-0.004166667
0.8333333,0.8416667,0.8583333,0.008333333,0.004166667,-0.004166667
0.1333333,0.15,0.1416667,0.008333333,0.008333333,-0.004166667
-0.3583333,-0.35,-0.3666667,0.008333333,0.0,0.008333333
-0.5416667,-0.5333333,-0.5333333,0.004166667,0.0,0.0
